ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
437,Left,1158.8,1422.0,0.00,59.60,9
438,Right,1677.9,1741.0,0.00,59.56,9
439,Right,1150.2,1236.8,0.00,59.53,9
440,Right,1190.4,1275.8,0.00,59.53,9
441,Left,1244.5,1498.6,0.03,59.50,9
442,Left,1201.0,1471.7,0.00,59.46,9
443,Right,1434.2,1653.5,0.00,59.41,9
444,Right,1644.3,1796.7,0.00,59.40,9
445,Left,1019.8,1132.6,0.12,59.38,9
446,Left,1702.9,1877.2,0.00,59.29,9
447,Left,1417.1,1627.9,0.00,59.25,9
448,Right,1752.3,2021.7,0.00,59.24,9
449,Left,1580.8,1717.4,0.04,59.22,9
450,Right,1792.7,2088.6,0.00,59.22,9
451,Right,1471.0,1540.3,0.00,59.16,9
452,Left,1093.1,1376.7,0.00,59.15,9
453,Right,1509.6,1652.8,0.00,59.11,9
454,Left,1606.2,1679.5,0.01,59.09,9
455,Left,2067.9,2264.4,0.00,59.09,9
456,Left,1752.7,1765.9,0.01,59.06,9
457,Left,1731.3,1930.6,0.01,59.06,9
458,Right,1802.2,1865.3,0.00,59.06,9
459,Right,1550.0,1651.2,0.01,59.05,9
460,Left,1390.5,1559.4,0.00,59.04,9
461,Right,1485.2,1623.8,0.00,59.03,9
462,Left,1454.2,1605.3,0.02,59.02,9
463,Left,1774.6,1805.9,0.05,59.02,9
464,Left,1323.6,1348.4,0.13,59.02,9
465,Right,1326.5,1369.7,0.00,58.94,9
466,Right,1111.2,1205.7,0.00,58.92,9
467,Left,995.1,1145.5,0.00,58.92,9
468,Left,1359.2,1374.7,0.07,58.91,9
469,Right,1583.8,1620.8,0.01,58.89,9
470,Left,1540.4,1614.5,0.00,58.89,9
471,Right,1202.8,1249.1,0.00,58.89,9
472,Right,1845.3,1999.8,0.00,58.87,9
473,Left,1408.3,1431.4,0.00,58.86,9
474,Right,1463.1,1677.9,0.00,58.85,9
475,Left,1765.2,1913.0,0.00,58.84,9
476,Left,1770.4,1836.5,0.00,58.84,9
477,Right,1914.0,2104.6,0.00,58.83,9
478,Right,1448.4,1640.4,0.00,58.81,9
479,Left,1623.7,1941.4,0.00,60.30,10
480,Left,1523.4,1748.4,0.00,60.23,10
481,Right,1007.0,1424.3,0.05,60.05,10
482,Right,1144.9,1241.0,0.00,59.77,10
483,Right,1742.1,1969.7,0.01,59.62,10
484,Left,1098.1,1199.9,0.00,59.44,10
485,Left,1254.5,1434.7,0.00,59.42,10
486,Right,1502.7,1697.6,0.01,59.41,10
487,Right,1441.6,1555.1,0.00,59.41,10
488,Left,1614.3,1966.2,0.00,59.39,10
489,Right,1407.8,1537.7,0.00,59.34,10
490,Right,1730.2,1911.2,0.17,59.30,10
491,Left,1860.5,1973.9,0.01,59.30,10
492,Right,1144.8,1485.7,0.11,59.26,10
493,Left,1731.3,1737.6,0.00,59.24,10
494,Right,2074.0,2232.6,0.01,59.24,10
495,Right,1675.9,1826.1,0.00,59.22,10
496,Right,1653.8,1724.6,0.00,59.21,10
497,Right,1501.6,1659.6,0.00,59.19,10
498,Left,1254.6,1465.4,0.00,59.13,10
499,Left,1609.3,1652.3,0.18,59.12,10
500,Right,1066.6,1079.3,0.00,59.08,10
