ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
205,Left,2536.5,2563.9,0.00,58.11,2
206,Left,2114.8,2144.4,0.00,57.88,2
207,Right,2627.8,2716.9,0.01,57.86,2
208,Left,875.7,937.7,0.00,57.84,2
209,Right,3081.5,3470.2,0.00,57.84,2
210,Left,2261.6,2396.1,0.00,57.72,2
211,Left,2525.4,2569.4,0.04,57.68,2
212,Right,1603.7,1688.2,0.00,57.51,2
213,Left,2149.5,2954.9,0.03,57.31,2
214,Right,1486.3,1568.5,0.00,57.05,2
215,Left,1791.0,1793.7,0.01,56.91,2
216,Right,1988.0,2113.8,0.03,56.82,2
217,Left,1237.8,1305.9,0.00,56.78,2
218,Left,2276.3,2314.7,0.03,56.65,2
219,Right,1991.7,2180.1,0.00,56.58,2
220,Left,2550.1,2599.5,0.00,56.57,2
221,Right,1678.5,1756.5,0.01,56.54,2
222,Right,2056.8,2243.9,0.00,56.53,2
223,Left,1006.6,1028.3,0.00,56.41,2
224,Right,1058.8,1276.4,0.00,56.38,2
225,Left,913.1,1018.3,0.12,56.35,2
