ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
262,Left,1570.7,1580.7,0.07,58.04,7
263,Right,1584.4,1613.6,0.01,58.01,7
264,Right,1408.3,1484.6,0.00,58.01,7
265,Left,997.5,1055.9,0.06,57.99,7
266,Left,1343.2,1419.2,0.02,57.82,7
267,Left,1249.1,1280.2,0.00,59.63,8
268,Right,1727.4,1804.7,0.00,59.57,8
269,Right,1629.6,1681.9,0.00,59.57,8
270,Left,1009.8,1052.0,0.00,59.28,8
271,Right,1125.3,1167.6,0.00,59.15,8
272,Right,1609.9,1688.7,0.00,59.10,8
273,Left,859.9,869.5,0.00,59.00,8
274,Right,1603.3,1683.4,0.00,58.99,8
275,Right,1686.8,1784.2,0.00,58.96,8
276,Left,1812.2,1989.3,0.01,58.94,8
277,Left,1455.8,1665.4,0.00,58.90,8
278,Left,1896.3,1923.3,0.08,58.89,8
279,Right,1603.9,1669.9,0.02,58.88,8
280,Right,1211.6,1342.9,0.00,58.85,8
281,Right,928.8,1035.8,0.02,58.83,8
282,Left,656.6,676.8,0.00,58.75,8
283,Left,906.8,975.2,0.00,58.74,8
284,Right,1690.0,1783.1,0.02,58.69,8
285,Left,1347.1,1375.0,0.01,58.64,8
286,Left,1698.5,1910.0,0.00,58.62,8
287,Right,1351.9,1386.5,0.00,58.62,8
288,Left,1419.2,1534.4,0.00,58.62,8
289,Left,2152.9,2166.6,0.18,58.49,8
290,Left,1917.0,1937.2,0.00,58.48,8
291,Right,1516.9,1609.0,0.00,58.45,8
292,Right,1199.5,1283.8,0.00,58.40,8
293,Right,1854.7,1863.9,0.01,58.34,8
294,Left,1023.9,1156.0,0.01,58.30,8
295,Right,1167.9,1169.9,0.00,58.27,8
296,Right,1190.0,1259.1,0.10,58.26,8
297,Left,758.9,877.9,0.00,58.19,8
298,Right,535.6,558.5,0.00,58.19,8
299,Right,986.7,993.5,0.00,58.16,8
300,Right,1488.4,1572.9,0.17,58.15,8
301,Left,1251.5,1275.0,0.02,58.14,8
302,Right,1336.9,1359.5,0.00,58.11,8
303,Left,1064.4,1140.8,0.00,58.07,8
304,Left,1304.9,1453.0,0.05,58.03,8
